,model_type,roi,task,mean_delta_x,ci_lower_95,ci_upper_95,n_subjects,mean_delta_y,p_one_sided,p_fdr,reject_fdr
89,transformer,V2v,general_pose,9.487111254949387e-05,-0.0025574923551175744,0.0029326120857149363,8,9.487115e-05,0.45585441455854414,0.8902109789021098,False
90,transformer,V2v,normal,-0.022858551933492274,-0.06499162819236518,0.001092707083444109,8,-0.02285855,0.8902109789021098,0.8902109789021098,False
91,transformer,V2v,seg,0.006306940136219033,-1.806712193683778e-05,0.016405349550768732,8,0.0063069407,0.0841915808419158,0.3367663233676632,False
92,transformer,V3d,depth,-0.014961446648117396,-0.04007226973772049,-0.0002965439052786678,8,-0.014961447,0.9496050394960504,0.9496050394960504,False
93,transformer,V3d,general_pose,0.000556295100494722,-0.0020674514642450956,0.0032033366383984675,8,0.00055629504,0.3317668233176682,0.9496050394960504,False
94,transformer,V3d,normal,-0.014010575945029052,-0.03753582388162613,-0.00027413845455157726,8,-0.014010576,0.9493050694930507,0.9496050394960504,False
95,transformer,V3d,seg,-0.0037477717118203357,-0.008270260808058082,3.841522775473925e-05,8,-0.0037477715,0.9116088391160884,0.9496050394960504,False
96,transformer,V3v,depth,-0.025897859006106472,-0.07662260700017214,0.0021957451710477175,8,-0.02589786,0.8295170482951705,0.8295170482951705,False
97,transformer,V3v,general_pose,-0.0005878529766082663,-0.0027365616988390684,0.001797606010222804,8,-0.000587853,0.6673332666733327,0.8295170482951705,False
98,transformer,V3v,normal,-0.02263913617276886,-0.06718066334724426,0.0026619617070536977,8,-0.022639135,0.8067193280671933,0.8295170482951705,False
99,transformer,V3v,seg,0.00022431280392409825,-0.007511147658806294,0.00950405835174024,8,0.00022431256,0.4477552244775522,0.8295170482951705,False
100,transformer,hV4,depth,0.0041496466570001,-0.0035193423798773435,0.012642943556420504,8,0.0041496465,0.21647835216478353,0.23157684231576842,False
101,transformer,hV4,general_pose,0.0010981216685510692,-0.0009276159704313613,0.0034688409185037,8,0.0010981216,0.23157684231576842,0.23157684231576842,False
102,transformer,hV4,normal,0.005175358416355164,-0.0013928372907685115,0.013354123570024967,8,0.005175358,0.13928607139286073,0.23157684231576842,False
103,transformer,hV4,seg,0.0006066903598053591,-0.00034657633077586066,0.001768866553902626,8,0.0006066904,0.17818218178182182,0.23157684231576842,False
